Date,Open,High,Low,Close
1995-01-02,0.844,0.844,0.844,0.844
1995-01-03,0.845,0.845,0.845,0.845
1995-01-04,0.845,0.845,0.845,0.845
1995-01-05,0.843,0.843,0.843,0.843
1995-01-06,0.84,0.84,0.84,0.84
1995-01-09,0.844,0.844,0.844,0.844
1995-01-10,0.847,0.847,0.847,0.847
1995-01-11,0.851,0.851,0.851,0.851
1995-01-12,0.845,0.845,0.845,0.845
1995-01-13,0.847,0.847,0.847,0.847
1995-01-16,0.847,0.847,0.847,0.847
1995-01-17,0.846,0.846,0.846,0.846
1995-01-18,0.846,0.846,0.846,0.846
1995-01-19,0.848,0.848,0.848,0.848
1995-01-20,0.848,0.848,0.848,0.848
1995-01-23,0.85,0.85,0.85,0.85
1995-01-24,0.851,0.851,0.851,0.851
1995-01-25,0.851,0.851,0.851,0.851
1995-01-26,0.845,0.845,0.845,0.845
1995-01-27,0.844,0.844,0.844,0.844
1995-01-30,0.846,0.846,0.846,0.846
1995-01-31,0.841,0.841,0.841,0.841
1995-02-01,0.842,0.842,0.842,0.842
1995-02-02,0.839,0.839,0.839,0.839
1995-02-03,0.839,0.839,0.839,0.839
1995-02-06,0.836,0.836,0.836,0.836
1995-02-07,0.836,0.836,0.836,0.836
1995-02-08,0.835,0.835,0.835,0.835
1995-02-09,0.833,0.833,0.833,0.833
1995-02-10,0.834,0.834,0.834,0.834
1995-02-13,0.832,0.832,0.832,0.832
1995-02-14,0.834,0.834,0.834,0.834
1995-02-15,0.836,0.836,0.836,0.836
1995-02-16,0.844,0.844,0.844,0.844
1995-02-17,0.85,0.85,0.85,0.85
1995-02-20,0.841,0.841,0.841,0.841
1995-02-21,0.842,0.842,0.842,0.842
1995-02-22,0.848,0.848,0.848,0.848
1995-02-23,0.847,0.847,0.847,0.847
1995-02-24,0.853,0.853,0.853,0.853
1995-02-27,0.851,0.851,0.851,0.851
1995-02-28,0.851,0.851,0.851,0.851
1995-03-01,0.852,0.852,0.852,0.852
1995-03-02,0.852,0.852,0.852,0.852
1995-03-03,0.859,0.859,0.859,0.859
1995-03-06,0.866,0.866,0.866,0.866
1995-03-07,0.887,0.887,0.887,0.887
1995-03-08,0.889,0.889,0.889,0.889
1995-03-09,0.889,0.889,0.889,0.889
1995-03-10,0.882,0.882,0.882,0.882
1995-03-13,0.881,0.881,0.881,0.881
1995-03-14,0.881,0.881,0.881,0.881
1995-03-15,0.885,0.885,0.885,0.885
1995-03-16,0.899,0.899,0.899,0.899
1995-03-17,0.898,0.898,0.898,0.898
1995-03-20,0.913,0.913,0.913,0.913
1995-03-21,0.898,0.898,0.898,0.898
1995-03-22,0.906,0.906,0.906,0.906
1995-03-23,0.908,0.908,0.908,0.908
1995-03-24,0.909,0.909,0.909,0.909
1995-03-27,0.91,0.91,0.91,0.91
1995-03-28,0.91,0.91,0.91,0.91
1995-03-29,0.906,0.906,0.906,0.906
1995-03-30,0.902,0.902,0.902,0.902
1995-03-31,0.9,0.9,0.9,0.9
1995-04-03,0.904,0.904,0.904,0.904
1995-04-04,0.899,0.899,0.899,0.899
1995-04-05,0.898,0.898,0.898,0.898
1995-04-06,0.895,0.895,0.895,0.895
1995-04-07,0.899,0.899,0.899,0.899
1995-04-11,0.901,0.901,0.901,0.901
1995-04-12,0.907,0.907,0.907,0.907
1995-04-13,0.909,0.909,0.909,0.909
1995-04-14,0.909,0.909,0.909,0.909
1995-04-17,0.905,0.905,0.905,0.905
1995-04-18,0.906,0.906,0.906,0.906
1995-04-19,0.913,0.913,0.913,0.913
1995-04-20,0.918,0.918,0.918,0.918
1995-04-21,0.908,0.908,0.908,0.908
1995-04-24,0.913,0.913,0.913,0.913
1995-04-25,0.921,0.921,0.921,0.921
1995-04-26,0.917,0.917,0.917,0.917
1995-04-27,0.917,0.917,0.917,0.917
1995-04-28,0.913,0.913,0.913,0.913
1995-05-01,0.918,0.918,0.918,0.918
1995-05-02,0.914,0.914,0.914,0.914
1995-05-03,0.904,0.904,0.904,0.904
1995-05-04,0.903,0.903,0.903,0.903
1995-05-05,0.901,0.901,0.901,0.901
1995-05-08,0.898,0.898,0.898,0.898
1995-05-09,0.897,0.897,0.897,0.897
1995-05-10,0.894,0.894,0.894,0.894
1995-05-11,0.896,0.896,0.896,0.896
